"","date","stream","mean.daily.q","min.daily.q","max.daily.q","sd.daily.q","mean.daily.t","min.daily.t","max.daily.t","sd.daily.t"
"2653",2021-11-13,"towr",0.681184760763889,0.6143174,0.7778904,0.0338589000152434,10.5664236111111,9.63,11.5,0.490523493097216
"2654",2021-11-13,"ws55",0.183533729618056,0.06287787,0.2742164,0.0453695022624617,9.67725694444444,8,10.4,0.639909436607729
"2655",2021-11-14,"towr",0.635186551736111,0.5896184,0.6938838,0.031975850620014,9.6515625,8.25,10.64,0.790667245397361
"2656",2021-11-14,"ws55",0.173241317361111,0.1277394,0.2106445,0.0205378488265106,8.11934722222222,6.725,9.38,0.884689881052596
"2657",2021-11-15,"towr",0.654345210416667,0.6236466,0.6774372,0.0115779894383221,10.143125,9.56,10.98,0.430291156188547
"2658",2021-11-15,"ws55",0.132382552083333,0.1131804,0.1658658,0.00877155881241454,8.33324652777778,7.216,9.37,0.682905907927277
"2659",2021-11-16,"towr",0.656306224652778,0.6279085,0.6880846,0.0157780106201577,10.6229166666667,8.83,12.63,1.44203320214812
"2660",2021-11-16,"ws55",0.102104089583333,0.05223048,0.1564837,0.0235068741896265,8.92064236111111,6.589,11.4,1.86035488743111
"2661",2021-11-17,"towr",0.606492333333333,0.4664447,0.6880846,0.0701221452717554,12.1980555555556,11.3,13.28,0.621017797584549
"2662",2021-11-17,"ws55",0.0886276826458333,0.001322638,0.2101141,0.071484359717487,11.2322569444444,10.43,12.44,0.639446714744006
"2663",2021-11-18,"towr",0.519543873263889,0.5051245,0.5412257,0.00771503929007953,12.2884027777778,11.17,13.56,0.886150240283569
"2664",2021-11-18,"ws55",0.16683372653125,0.003874975,0.2475772,0.110427276688504,11.2250625,7.799,13.55,1.31963093361674
"2665",2021-11-19,"towr",0.489601538888889,0.4761694,0.513653,0.0064691924990613,10.2625694444444,9.36,11.17,0.546839186787087
"2666",2021-11-19,"ws55",0.242980923263889,0.2393518,0.2472915,0.00145011488745162,6.88607986111111,4.221,9.11,1.59992830323159
"2667",2021-11-20,"towr",0.476708634722222,0.4597663,0.5132639,0.00953397193629525,9.27270833333333,7.89,10.64,0.709837021830346
"2668",2021-11-20,"ws55",0.242284043055556,0.2393518,0.2450108,0.00117196652615103,6.61110416666667,4.765,8.28,1.06024664948898
"2669",2021-11-21,"towr",0.481740115972222,0.4568124,0.5277503,0.017327869948772,9.67409722222222,7.62,11.6,1.60221054317504
"2670",2021-11-21,"ws55",0.241798931597222,0.2371052,0.2447264,0.00121755725331325,7.69369097222222,4.866,10.58,2.17673859824165
"2671",2021-11-22,"towr",0.555506380902778,0.4859865,0.6598616,0.0409324652851518,10.9032638888889,8.84,11.8,0.922522922945784
"2672",2021-11-22,"ws55",0.242810601736111,0.2401967,0.2455801,0.000966191166527477,9.07652430555556,4.503,10.26,1.6649231577939
"2673",2021-11-23,"towr",0.446784965972222,0.4295465,0.6550656,0.0171685735520986,7.65531944444444,6.43,8.97,0.632161792380742
"2674",2021-11-23,"ws55",0.239572804513889,0.2351475,0.2433067,0.00228949208329203,4.36081597222222,2.29,6.668,1.38602716190626
"2675",2021-11-24,"towr",0.429102633333333,0.4030552,0.4458133,0.0085103941511837,7.05276736111111,5.484,8.54,0.902189924559284
"2676",2021-11-24,"ws55",0.240625617013889,0.2359856,0.2438741,0.00143145375750799,5.18042361111111,2.853,7.262,1.49816154039311
"2677",2021-11-25,"towr",0.440599963888889,0.4163804,0.4780502,0.0139803661487102,8.13941319444444,6.284,10.1,1.26421622140338
"2678",2021-11-25,"ws55",0.241012753472222,0.2385082,0.2433067,0.00104321137457547,6.97923958333333,4.597,9.15,1.63512555375609
"2679",2021-11-26,"towr",0.440806258333333,0.4100436,0.4803116,0.0196776723265077,8.24768402777778,6.487,10.26,1.04459286410068
"2680",2021-11-26,"ws55",0.242194845833333,0.2376659,0.2452954,0.00126580294264127,6.84818402777778,4.128,9.17,1.41248397264692
"2681",2021-11-27,"towr",0.412391984722222,0.3868505,0.4338571,0.0119768196688484,6.81657291666667,5.395,8.36,0.943137303767967
"2682",2021-11-27,"ws55",0.240536084722222,0.2359856,0.2430232,0.00127688407272018,5.24540625,2.728,7.54,1.66306979438811
