"","date","stream","m","mean_temp","month","year","trt_yr","decomp_month"
"187",2018-05-14,"c55","39",14.2108229166667,5,2018,"WTF",6
"188",2018-05-14,"c55","58",14.3927604166667,5,2018,"WTF",6
"189",2018-05-14,"c55","82",14.2737916666667,5,2018,"WTF",6
"190",2018-05-14,"towr","0",14.2179270833333,5,2018,"WTF",6
"191",2018-05-14,"towr","118",13.8325833333333,5,2018,"WTF",6
"192",2018-05-14,"towr","19",14.35840625,5,2018,"WTF",6
"193",2018-05-14,"towr","37",14.16578125,5,2018,"WTF",6
"194",2018-05-14,"towr","59",13.9849270833333,5,2018,"WTF",6
"195",2018-05-14,"towr","83",13.9072083333333,5,2018,"WTF",6
"196",2018-05-14,"towr","99",13.9193541666667,5,2018,"WTF",6
"197",2018-05-15,"c55","0",14.61590625,5,2018,"WTF",6
"198",2018-05-15,"c55","100",14.4394166666667,5,2018,"WTF",6
"199",2018-05-15,"c55","118",14.3406354166667,5,2018,"WTF",6
"200",2018-05-15,"c55","21",14.4411875,5,2018,"WTF",6
"201",2018-05-15,"c55","39",14.2501354166667,5,2018,"WTF",6
"202",2018-05-15,"c55","58",14.41396875,5,2018,"WTF",6
"203",2018-05-15,"c55","82",14.2865833333333,5,2018,"WTF",6
"204",2018-05-15,"towr","0",14.3604375,5,2018,"WTF",6
"205",2018-05-15,"towr","118",14.0114166666667,5,2018,"WTF",6
"206",2018-05-15,"towr","19",14.4605520833333,5,2018,"WTF",6
"207",2018-05-15,"towr","37",14.294,5,2018,"WTF",6
"208",2018-05-15,"towr","59",14.1194791666667,5,2018,"WTF",6
"209",2018-05-15,"towr","83",14.0385,5,2018,"WTF",6
"210",2018-05-15,"towr","99",14.0714166666667,5,2018,"WTF",6
"211",2018-05-16,"c55","0",14.427,5,2018,"WTF",6
"212",2018-05-16,"c55","100",14.28946875,5,2018,"WTF",6
"213",2018-05-16,"c55","118",14.192,5,2018,"WTF",6
"214",2018-05-16,"c55","21",14.2797604166667,5,2018,"WTF",6
"215",2018-05-16,"c55","39",14.12825,5,2018,"WTF",6
"216",2018-05-16,"c55","58",14.2631666666667,5,2018,"WTF",6
"217",2018-05-16,"c55","82",14.116,5,2018,"WTF",6
"218",2018-05-16,"towr","0",14.4875,5,2018,"WTF",6
"219",2018-05-16,"towr","118",14.30021875,5,2018,"WTF",6
"220",2018-05-16,"towr","19",14.5573333333333,5,2018,"WTF",6
"221",2018-05-16,"towr","37",14.444,5,2018,"WTF",6
"222",2018-05-16,"towr","59",14.3277916666667,5,2018,"WTF",6
"223",2018-05-16,"towr","83",14.2625,5,2018,"WTF",6
"224",2018-05-16,"towr","99",14.3473854166667,5,2018,"WTF",6
"225",2018-05-17,"c55","0",14.5182916666667,5,2018,"WTF",6
"226",2018-05-17,"c55","100",14.3525520833333,5,2018,"WTF",6
"227",2018-05-17,"c55","118",14.2329270833333,5,2018,"WTF",6
"228",2018-05-17,"c55","21",14.367,5,2018,"WTF",6
"229",2018-05-17,"c55","39",14.1935625,5,2018,"WTF",6
"230",2018-05-17,"c55","58",14.3268020833333,5,2018,"WTF",6
"231",2018-05-17,"c55","82",14.18228125,5,2018,"WTF",6
"232",2018-05-17,"towr","0",14.5883125,5,2018,"WTF",6
"233",2018-05-17,"towr","118",14.2877395833333,5,2018,"WTF",6
"234",2018-05-17,"towr","19",14.6728229166667,5,2018,"WTF",6
"235",2018-05-17,"towr","37",14.5290833333333,5,2018,"WTF",6
"236",2018-05-17,"towr","59",14.3818854166667,5,2018,"WTF",6
"237",2018-05-17,"towr","83",14.28975,5,2018,"WTF",6
"238",2018-05-17,"towr","99",14.3588958333333,5,2018,"WTF",6
"239",2018-05-18,"c55","0",14.38034375,5,2018,"WTF",6
"240",2018-05-18,"c55","100",14.2724270833333,5,2018,"WTF",6
"241",2018-05-18,"c55","118",14.1856354166667,5,2018,"WTF",6
"242",2018-05-18,"c55","21",14.23484375,5,2018,"WTF",6
"243",2018-05-18,"c55","39",14.0956875,5,2018,"WTF",6
"244",2018-05-18,"c55","58",14.18065625,5,2018,"WTF",6
"245",2018-05-18,"c55","82",13.97446875,5,2018,"WTF",6
"246",2018-05-18,"towr","0",14.84121875,5,2018,"WTF",6
"247",2018-05-18,"towr","118",14.7178541666667,5,2018,"WTF",6
"248",2018-05-18,"towr","19",14.9454583333333,5,2018,"WTF",6
"249",2018-05-18,"towr","37",14.8402604166667,5,2018,"WTF",6
"250",2018-05-18,"towr","59",14.76596875,5,2018,"WTF",6
"251",2018-05-18,"towr","83",14.6680520833333,5,2018,"WTF",6
"252",2018-05-18,"towr","99",14.76721875,5,2018,"WTF",6
"253",2018-05-19,"c55","0",14.4903958333333,5,2018,"WTF",6
"254",2018-05-19,"c55","100",14.3645104166667,5,2018,"WTF",6
"255",2018-05-19,"c55","118",14.2553333333333,5,2018,"WTF",6
"256",2018-05-19,"c55","21",14.3604791666667,5,2018,"WTF",6
"257",2018-05-19,"c55","39",14.1834270833333,5,2018,"WTF",6
"258",2018-05-19,"c55","58",14.3083020833333,5,2018,"WTF",6
"259",2018-05-19,"c55","82",14.1385416666667,5,2018,"WTF",6
"260",2018-05-19,"towr","0",14.8835833333333,5,2018,"WTF",6
"261",2018-05-19,"towr","118",14.6019583333333,5,2018,"WTF",6
"262",2018-05-19,"towr","19",14.98440625,5,2018,"WTF",6
"263",2018-05-19,"towr","37",14.84665625,5,2018,"WTF",6
"264",2018-05-19,"towr","59",14.7259166666667,5,2018,"WTF",6
"265",2018-05-19,"towr","83",14.6036979166667,5,2018,"WTF",6
"266",2018-05-19,"towr","99",14.6798541666667,5,2018,"WTF",6
"267",2018-05-20,"c55","0",14.6105520833333,5,2018,"WTF",6
"268",2018-05-20,"c55","100",14.4746979166667,5,2018,"WTF",6
"269",2018-05-20,"c55","118",14.3599479166667,5,2018,"WTF",6
"270",2018-05-20,"c55","21",14.4617395833333,5,2018,"WTF",6
"271",2018-05-20,"c55","39",14.2880625,5,2018,"WTF",6
"272",2018-05-20,"c55","58",14.4183333333333,5,2018,"WTF",6
"273",2018-05-20,"c55","82",14.2411666666667,5,2018,"WTF",6
"274",2018-05-20,"towr","0",14.9119270833333,5,2018,"WTF",6
"275",2018-05-20,"towr","118",14.5591458333333,5,2018,"WTF",6
"276",2018-05-20,"towr","19",14.9796354166667,5,2018,"WTF",6
"277",2018-05-20,"towr","37",14.8354479166667,5,2018,"WTF",6
"278",2018-05-20,"towr","59",14.7053333333333,5,2018,"WTF",6
"279",2018-05-20,"towr","83",14.581625,5,2018,"WTF",6
"280",2018-05-20,"towr","99",14.6355208333333,5,2018,"WTF",6
"281",2018-05-21,"c55","0",14.6498229166667,5,2018,"WTF",6
"282",2018-05-21,"c55","100",14.5148229166667,5,2018,"WTF",6
"283",2018-05-21,"c55","118",14.3869895833333,5,2018,"WTF",6
"284",2018-05-21,"c55","21",14.503875,5,2018,"WTF",6
"285",2018-05-21,"c55","39",14.3263125,5,2018,"WTF",6
"286",2018-05-21,"c55","58",14.463625,5,2018,"WTF",6
"287",2018-05-21,"c55","82",14.3057708333333,5,2018,"WTF",6
"288",2018-05-21,"towr","0",14.8654791666667,5,2018,"WTF",6
"289",2018-05-21,"towr","118",14.50109375,5,2018,"WTF",6
